Candidato,Nombre,Descripcion,Tema
José Ignacio Peralta,Empleo,"Programa 'Manos a la obra' es una estrategia de compromisos y acciones para obtener empleos, una de las grandes demandas de los colimenses. Se impulsará una serie de acciones que permitirán atraer inversiones y generar opciones de trabajo, para que la población tenga una oportunidad de superación a través de un empleo digno y bien remunerado, también existe la necesidad que la gente que ya tiene empleo tenga un mejor salario y corresponda a su nivel de preparación, experiencia, habilidad y empeño.",PLANEAMIENTO_URBANO
José Ignacio Peralta,Seguridad,"El programa 'Seguridad integral' jugará un papel fundamental en la estrategia de gobierno, así como en la definición de acciones y políticas públicas. Se invertirá en los cuerpos policíacos, para equiparlos y entrenarlos mejor, además de una serie de medidas para dar la certeza que se logrará el objetivo.",SEGURIDAD
José Ignacio Peralta,Combate a la probreza,"Se definirán acciones para generar las condiciones que eliminen la problemática de la falta de alimento, vivienda o servicios, a través de becas, programas sociales y ayuda alimentaria.",ECONOMIA
José Ignacio Peralta,Infraestructura,"Contar con más y mejor infraestructura de todo tipo. De comunicación, transporte, recreativa y productiva, que permita impulsar el desarrollo económico de Colima, así como la atracción de inversiones que conlleven a la generación de empleos. Con el Programa 'Infraestructura para el desarrollo' se gestionará incrementar, ampliar y mejorar las carreteras se impulsará el desarrollo portuario para que Manzanillo siga siendo el motor del crecimiento económico y se traduzca en efectos positivos en la calidad de vida de los colimenses.",TRANSPORTE
José Ignacio Peralta,Campo,"Se propondrá una serie de acciones que permitirán remediar las problemáticas relacionadas a plagas, financiamiento para la producción y comercialización y apoyar a los trabajadores a recuperar y sanar su principal fuente de ingresos. Buscando, por todos los medios, poner a su disposición las herramientas necesarias para dar un mayor valor agregado a sus productos, así como acceso a nuevos mercados.",ECONOMIA
José Ignacio Peralta,Educación,"Se asegurará que exista una formación de calidad con el programa 'Educación para todos', para ello se apoyará al magisterio, de manera que puedan brindar un servicio óptimo a jóvenes y niños colimenses. Mientras se tengan mejores planes de estudio, se tendrá la posibilidad de que Colima pueda volver a ser un estado en crecimiento y con mayor competitividad a nivel nacional e internacional.",EDUCACION
José Ignacio Peralta,Turismo,Se impulsará de manera decidida al sector turístico como una estrategia fundamental para el desarrollo económico de la entidad.,ECONOMIA
José Ignacio Peralta,Salud,"Priorizar el abasto de medicamentos y la mejora continua del sector salud, así como la existencia de personal médico que brinde servicios rápidos y de calidad, evitando las horas de espera por parte de los pacientes para ser atendidos, así como un trato digno a los mismos.",SALUD
Jorge Luis preciado,Rescatar a Colima de la inseguridad,"Se creará una policía con rostro humano. Se hará un frente común para combatir la drogadicción, y así reconstruir el tejido social.",SEGURIDAD 
Jorge Luis preciado,Mejor preparación de policias,"La Policía de Colima será reconocida en todo México por su preparación, adiestramiento, equipamiento y por defender y respetar siempre los Derechos Humanos de todas las personas, sin importar su origen, condición social o económica.",SEGURIDAD 
Jorge Luis preciado,Sistema de respuesta inmediata,"Brindar atención pronta y oportuna a las llamadas de auxilio, denuncias y crisis en cuestión de segundos, aprovechando correctamente los avances tecnológicos, la geolocalización, mapas delincuenciales e inteligencia policíaca. Nunca más, un colimense recibirá auxilio de manera tardía",SEGURIDAD 
Jorge Luis preciado,Sin deudas,"Se resolverá la crisis financiera del gobierno estatal y de los gobiernos municipales, además de darle viabilidad a la propuesta de desarrollo.",ECONOMIA 
Jorge Luis preciado,Más y mejores ingresos,"Habrá orden, transparencia, eficiencia y control en el gasto, pero también una nueva e importante fuente de ingresos para el estado, a través de la riqueza que genera para el fisco federal el puerto de Manzanillo.",ECONOMIA 
Jorge Luis preciado,Transparencia,"Habrá una revisión exhaustiva en el gasto del gobierno estatal desde 1997 a la fecha, pues el pueblo de Colima tiene todo el derecho de conocer la verdad, sólo así habrá justicia, los habitantes de Colima deben conocer la verdad",ECONOMIA 
Jorge Luis preciado,Justicia,"Perseguir a funcionarios delincuentes, para destituirlos y hacerles que regresen los recursos a los ciudadanos.",SOCIEDAD 
